PLEXOS technology,Mapping to new WEO technology,Mapping to DEA data,Mapping to WEO Capex,Mapping to APPFC techs,OpClassMSL,Mapping to NREL cost data,Fuel,PerformanceVar,PropertyClass,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,Category1,Category2,ValidationTech,FUELgas,Fuel4,Fuel5,VRE2,VRE3,PLN_Tech,CategoryWEO,FlexCategory,Reserves,QuickStart,Type,RegSplitCat,New,RegSplitCat
Coal Ultrasupercritical Steam with NH3 Retrofit,Coal_Ultrasupercritical,Coal Ultra supercritical,Steam Coal - ULTRASUPERCRITICAL,Coal ultrasupercritical,Coal ultrasupercritical NEW,Coal,Bituminous coal,1,Bituminous coal,Coal Ultra supercritical,Coal,Non-VRE,2,4,Coal,Clean fuels,Thermal,Coal,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,PLTU_ult,Coal_Ultrasupercritical,Dispatchable,Yes,No,Generator,Coal,Y,Coal
Fuel Cell with H2 Retrofit,Fuel_cell,Fuel cell,Excluded,Fuel cell,Fuel cell,,Fuel Cell,1,Fuel Cell,Fuel cell,Fuel Cell,Non-VRE,2,4,Fuel Cell,Clean fuels,Fuel Cell,Fuel Cell,Fuel Cell,Fuel Cell,Fuel Cell,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Coal
Gas CCGT with H2 Retrofit,Gas_CCGT,CCGT,Excluded,CCGT,CCGT,CCGT,Gas,1,Gas-CCGT,CCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,N,Coal
Gas GT with H2 Retrofit,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,SCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Coal
Gas Steam with H2 Retrofit,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,CCGT,Gas,Non-VRE,4,6,Gas,Clean fuels,Thermal,Gas,Gas-steam,Gas-steam,Gas,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Coal
Battery1HR,Battery_utility_1h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Coal
Battery2HR,Battery_utility_2h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery4HR,Battery_utility_4h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery8HR,Battery_utility_8h,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,Battery,N,Gas
Battery_BTM,Battery_distributed,Batteries,Excluded,Battery,Battery,Battery,#N/A,1,Battery,Battery,Battery,Battery,0,0,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Yes,No,Battery,,,Battery
