Year,Month,Day,Period,Value
2023,1,29,12,15798.61028
2023,1,29,13,15976.43077
2023,1,29,14,15803.79671
2023,1,29,15,15595.59854
2023,1,29,16,15369.61833
2023,1,29,17,15342.94525
2023,1,29,18,15294.04462
2023,1,29,19,15478.53338
2023,1,29,20,15768.97353
2023,1,29,21,16229.82498
2023,1,29,22,15886.03869
2023,1,29,23,15534.10229
2023,1,29,24,15267.37154
2023,1,30,1,14733.16913
2023,1,30,2,13932.97689
2023,1,30,3,13375.06508
2023,1,30,4,12747.50691
2023,1,30,5,12388.16132
2023,1,30,6,12149.58549
2023,1,30,7,12122.91241
2023,1,30,8,12220.71368
2023,1,30,9,12518.56302
2023,1,30,10,12955.70507
2023,1,30,11,13558.81293
2023,1,30,12,14707.97789
2023,1,30,13,15266.63062
2023,1,30,14,15422.96448
2023,1,30,15,15203.65253
2023,1,30,16,15012.49549
2023,1,30,17,14901.35768
2023,1,30,18,14888.76206
2023,1,30,19,15104.36942
2023,1,30,20,15477.79246
2023,1,30,21,15906.78441
2023,1,30,22,15569.66639
2023,1,30,23,15290.34002
2023,1,30,24,15038.42765
2023,1,31,1,14595.35824
2023,1,31,2,13924.82679
2023,1,31,3,13330.60996
2023,1,31,4,12625.99624
2023,1,31,5,12183.66775
2023,1,31,6,11939.16456
2023,1,31,7,11829.50859
2023,1,31,8,11859.88626
2023,1,31,9,12131.06252
2023,1,31,10,12322.96047
2023,1,31,11,12855.68104
2023,1,31,12,13710.70127
2023,1,31,13,14148.58424
2023,1,31,14,14189.33478
2023,1,31,15,14075.97421
2023,1,31,16,13978.17293
2023,1,31,17,13981.87753
2023,1,31,18,14026.33265
2023,1,31,19,14301.95442
2023,1,31,20,14925.808
2023,1,31,21,15420.74172
2023,1,31,22,15265.14878
2023,1,31,23,15238.47571
2023,1,31,24,15098.44207
2023,2,1,1,14583.50354
2023,2,1,2,13814.42989
2023,2,1,3,13163.90324
2023,2,1,4,12617.10521
2023,2,1,5,12254.05503
2023,2,1,6,12036.22492
2023,2,1,7,12072.52994
2023,2,1,8,12354.07906
2023,2,1,9,12915.69546
2023,2,1,10,14230.08531
2023,2,1,11,15180.68405
2023,2,1,12,16198.7064
2023,2,1,13,16778.84577
2023,2,1,14,16855.90132
2023,2,1,15,16511.3741
2023,2,1,16,16273.53919
2023,2,1,17,16154.99219
2023,2,1,18,15998.65834
2023,2,1,19,15894.18879
2023,2,1,20,15951.23954
2023,2,1,21,16309.10329
2023,2,1,22,16014.21763
2023,2,1,23,15587.44844
2023,2,1,24,15451.86031
2023,2,2,1,14850.97521
2023,2,2,2,13828.50735
2023,2,2,3,13372.10141
2023,2,2,4,12684.52882
2023,2,2,5,12261.46422
2023,2,2,6,12092.53474
2023,2,2,7,12208.11807
2023,2,2,8,12414.09348
2023,2,2,9,13056.47002
2023,2,2,10,14300.47259
2023,2,2,11,15111.77861
2023,2,2,12,15927.53014
2023,2,2,13,16088.3095
2023,2,2,14,16034.96335
2023,2,2,15,15665.98582
2023,2,2,16,15545.95699
2023,2,2,17,15574.1119
2023,2,2,18,15461.49225
2023,2,2,19,15542.99331
2023,2,2,20,15752.67331
2023,2,2,21,16174.997
2023,2,2,22,16009.77212
2023,2,2,23,15698.58625
2023,2,2,24,15456.30582
2023,2,3,1,15076.21451
2023,2,3,2,14050.04205
2023,2,3,3,13363.9513
2023,2,3,4,12714.90648
2023,2,3,5,12408.90704
2023,2,3,6,12184.40867
2023,2,3,7,12188.11326
2023,2,3,8,12314.81036
2023,2,3,9,13096.47963
2023,2,3,10,14094.49718
2023,2,3,11,15078.43726
2023,2,3,12,15863.07021
2023,2,3,13,16094.97777
2023,2,3,14,15963.09424
2023,2,3,15,15724.5184
2023,2,3,16,15302.93564
2023,2,3,17,15408.88702
2023,2,3,18,15364.4319
2023,2,3,19,15499.27911
2023,2,3,20,15746.00505
2023,2,3,21,16063.85919
